State,Farm/Buyer Name,Category,Website,Phone,Email,Address,Notes
MD,Albright Farms,Farm,Albrightfarms.com,410-591-3295,albrightfarmshq@gmail.com,,Text via phone
MD,Amaranth Acres,Farm,,240-751-3079,indhu@amaranthacres.com,,Text via phone
MD,Bartenfelder Farms,Farm,marylandsbest.maryland.gov/pro,(443) 845-1830,bartfarms9813@yahoo.com,"4110 Payne Rd. Preston, MD 21665",Call on phone
MD,"Baywater Family Farms, LLC",Farm,www.baywaterfarms.com/,,andy@baywaterfarms.com,"27616 Little Lane Salisbury, MD 21801",
MD,Bramble Blossoms,Farm,http://www.brambleblossoms,,,,"6938 Hubbard RoaHurlock, MD 21643"
MD,Butler's Orchard,Farm,http://butlersorchard.com,,,,"22222 Davis Mill RGermantown, MD 20876-4520"
MD,"Chesapeake Gold Farms, Inc",Farm,http://chesapeakegoldfarms.com,,,,"41 Grove Miller La North East, MD 21901"
MD,Common Root Farm,Farm,http://www.commonrootfarm.com,,,,"18101 Bowie Mill RDerwood, MD 20855"
MD,"Deliteful Dairy, LLC",Farm,http://delitefuldairy.com,,,,"16328 Long Delite Williamsport, MD 21795"
MD,Evermore Farm,Farm,http://www.evermorefarm.com,,,,"150 Rockland Rd Westminster, MD 21158"
MD,F & D APIARIES,Farm,http://fanddapiaries.com,,,,17808 GREENTRE HAGERSTOWN MD 21740
MD,Fiore Winery & Distillery,Farm,http://fiorewinery.com,,,,"3026 Whiteford RoPylesville, MD 21132"
MD,Foxleigh Farm,Farm,,,,,
MD,Grand View Farm,Farm,http://grandviewfarming.com,410-937-2221,nick@grandviewfarming.com,"1939 High Point RoForest Hill, MD 21050",Email
MD,Honey Effects Apiary,Farm,,,honeyfx@greenfx.net,"20715 Whites Ferr Poolesville, MD 20837",Email
MD,Miller Farms,Farm,http://www.millerfarmsclinton.com,301-399-0168,bpmiller14@gmail.com,"10200 Piscataway Clinton, MD 20735",Call me on my phone
MD,Miller Farms,Farm,http://www.millerfarmsclinton.com,,,,"10140 Piscataway Clinton, MD 20735"
MD,Misty Meadow Farm & Creamery,Farm,http://mistymeadowsfarmcreamery.com,,,,"14230 Misty Mead Smithsburg, MD 21783"
MD,Moon Valley Farm,Farm,http://www.moonvalleyfarm.net,,,,"9700 Gravel Hill RdWOODSBORO, MD 21798"
MD,Natures Garlic Farm,Farm,http://www.naturesgarlicfarm.com,,,,"10610 Old Cordov Easton, MD 21601"
MD,Nev-R-Dun Farm,Farm,http://www.nevrdunfarm.com,,,,"2813 MURKLE RDWESTMINSTER, MD 21158"
MD,Next Step Produce,Farm,http://nextstepproduce.com,,,,"10615 Benton Rd Newburg, MD 20664"
MD,One Acre Farm,Farm,http://www.oneacrefarm.com,,,,"14607 Carrolton RRockville, MD 20853"
MD,Palmyra Farm Cheese LLC,Farm,http://palmyrafarm.net,,,,"18811 Wagaman RHagerstown, MD"
MD,Pathfinder Farm,Farm,https://pathfinder.farm,,,,"5515 Mt Carmel CKeedysville, MD 21756"
MD,Peas and Peace Farm,Farm,,,,,"14975 Sugarland RPoolesville, MD 20837"
MD,Pleasant Hill Produce,Farm,http://www.pleasanthillproduce.com,,,,"10009 Kelly road Walkersville, MD 21793"
MD,Pleasant Valley Farm,Farm,http://pleasantvalleyfarmmd.com,,,,"4401 Brookeville RBrookeville, MD 20833"
MD,"R. B. Savage & Sons Farm, LLC",Farm,,,,,"23035 Mt. Ephraim Dickerson, MD 20842"
MD,"Rinehart Orchards, Inc",Farm,,,,,"14511 RINEHART SMITHSBURG, MD 21783"
MD,Roberts Roost Farm,Farm,,,,,"15541 Carroll Roa Monkton, MD 21111"
MD,Sassafras Creek Farm,Farm,http://www.sassafrascreekfarm.com,,,,"23217 Bayside Rd Leonardtown, MD 20650-5620"
MD,Savage Acres Farm,Farm,https://savage-acres-farm.myshopify.com,,,,"23301 Mount Ephr Dickerson, MD 20842"
MD,Shaw Orchards,Farm,http://www.shaworchards.com,,,,"21901 Barrens Rd Stewartstown, PA 17363"
MD,South Mountain Creamery,Farm,http://southmountaincreamery.com,,,,"8305 Bolivar Rd. Middletown, MD 21769"
